Артикул на сайте;Правильный арикул;"цена
20-50шт";"цена 
51-200шт";"цена 
201-500шт";Комментарий;
;6А.69М;3135;2 822;2 351;;
6A.96;;998;848;748;была ошибка в артикуле у нас (исправили);
7.16M;7.16М;1127;1 043;845;;
7.05M-B;7.05М-B;1785;1 607;1 339;;
7.05M-A;7.05М-A;1827;1 644;1 370;;
7.05M;7.05М;1785;1 607;1 339;;
7.51A;7.51А;3200;2 880;2 400;;
7.43A;7.43А;1848;1 663;1 386;;
7.28;;;;;действительно нет цены - считаем;
10.54;10.54А-1;187;168;140;ошибка в артикуле;
10.48В;10.48B;578;520;434;видимо проблема в букве (язык), т.к. в прайсе он есть;
10.19a;10.19;683;615;512;видимо проблема в букве (язык), т.к. в прайсе он есть;
10.60;;;;;действительно нет цены - считаем;
